customer_id,age,income,recency,frequency,monetary
C1141,33,674000,26,15,68000
C1142,39,1052000,224,1,40200
C1143,64,804000,275,5,13100
C1144,39,516000,102,2,18500
C1145,29,421000,64,6,8400
C1146,27,264000,129,6,18600
C1147,49,1220000,1,22,217500
C1148,32,894000,66,13,65000
C1149,29,515000,32,6,31500
C1150,46,469000,97,5,15800
C1151,30,870000,21,10,61200
C1152,20,338000,98,4,20900
C1153,59,630000,150,6,26500
C1154,37,605000,49,14,59000
C1155,38,781000,34,13,66200
C1156,46,1224000,12,19,245600
C1157,24,773000,66,11,34100
C1158,60,935000,241,2,30600
C1159,35,735000,55,9,53700
C1160,48,1104000,333,5,30400
C1161,27,337000,106,4,12000
C1162,36,630000,29,8,67900
C1163,60,864000,183,4,24900
C1164,18,488000,99,3,21900
C1165,49,1196000,12,24,112800
C1166,27,342000,115,4,20100
C1167,41,770000,34,17,76000
C1168,29,389000,139,7,21700
C1169,34,469000,4,8,44900
C1170,43,1359000,2,23,236500
C1171,52,1399000,13,16,174600
C1172,46,1550000,11,17,205400
C1173,29,547000,93,3,10000
C1174,27,610000,18,13,67200
C1175,45,1104000,209,3,23100
C1176,18,1107000,30,4,43200
C1177,38,627000,58,6,8800
C1178,48,1495000,11,21,207300
C1179,47,776000,48,6,79000
C1180,27,416000,108,4,27300
C1181,38,357000,118,4,20600
C1182,25,375000,81,3,9700
C1183,47,1509000,13,24,178300
C1184,37,541000,26,13,48600
C1185,18,310000,108,4,22000
C1186,39,672000,49,10,76900
C1187,47,1119000,18,11,173300
C1188,60,1170000,287,4,25800
C1189,25,827000,41,8,45700
C1190,21,367000,124,8,14600
C1191,45,1131000,14,27,201800
C1192,68,1125000,200,3,41400
C1193,30,1074000,192,2,1500
C1194,32,666000,18,6,80700
C1195,32,410000,107,2,16200
C1196,51,1193000,215,4,32500
C1197,22,721000,25,9,71600
C1198,36,578000,73,1,4600
C1199,42,750000,46,10,71600
C1200,41,1212000,21,17,187300
C1201,39,1106000,20,24,195700
C1202,24,649000,32,7,59000
C1203,21,408000,138,2,7100
C1204,27,420000,98,4,13000
C1205,46,1384000,230,3,14900
C1206,49,1285000,6,23,190300
C1207,42,732000,255,5,7400
C1208,21,381000,131,4,8700
C1209,48,696000,124,3,37800
C1210,45,1201000,14,21,230500
C1211,24,542000,139,5,10100
C1212,24,1486000,7,20,146100
C1213,37,666000,63,15,89000
C1214,37,1361000,9,13,246000
C1215,28,270000,58,7,17700
C1216,34,904000,32,13,44600
C1217,33,392000,89,4,27000
C1218,44,1044000,279,8,3800
C1219,31,706000,14,11,77400
C1220,43,1609000,13,22,187500
C1221,18,598000,69,2,8400
C1222,32,470000,46,14,60200
C1223,18,480000,41,4,45800
C1224,53,897000,198,4,24100
C1225,42,1606000,18,21,174800
C1226,34,484000,14,10,68700
C1227,48,1173000,180,3,36900
C1228,48,1082000,1,30,241600
C1229,43,1468000,15,21,248700
C1230,27,565000,77,1,16800
C1231,27,569000,32,14,56000
C1232,49,1559000,20,20,212400
C1233,28,401000,15,10,75400
C1234,53,753000,178,5,22300
C1235,27,434000,79,3,5300
C1236,18,761000,29,10,54400
C1237,41,1430000,7,28,173500
C1238,59,953000,229,2,49000
C1239,18,693000,4,12,87900
C1240,34,892000,46,13,79800
C1241,23,252000,63,6,18200
C1242,25,473000,78,3,11800
C1243,31,667000,116,4,16700
C1244,48,1018000,14,16,143800
C1245,55,1069000,122,1,15200
C1246,31,1182000,198,4,36200
C1247,58,1143000,160,2,28500
C1248,31,452000,126,4,10600
C1249,46,1151000,12,22,176700
C1250,44,1455000,5,20,182700
C1251,35,566000,51,10,88800
C1252,66,744000,291,4,33000
C1253,24,445000,107,1,14000
C1254,32,1077000,199,1,24400
C1255,18,457000,101,6,14600
C1256,33,634000,74,12,83600
C1257,44,1088000,19,17,211300
C1258,26,310000,111,3,2300
C1259,25,485000,105,5,28700
C1260,25,756000,18,13,35200
C1261,39,1790000,21,19,149500
C1262,33,1167000,6,15,123900
C1263,43,1390000,22,15,166900
C1264,30,746000,43,11,77000
C1265,32,230000,95,5,13300
C1266,48,1217000,4,33,214000
C1267,48,636000,201,6,30600
C1268,40,673000,43,8,57500
C1269,29,1505000,10,23,160500
C1270,52,1030000,114,3,24700
C1271,28,266000,62,4,11000
C1272,52,1355000,9,17,95200
C1273,32,388000,21,8,56400
C1274,56,1039000,235,2,5000
C1275,27,464000,118,4,35200
C1276,49,896000,220,5,42000
C1277,29,794000,29,10,35200
C1278,45,868000,265,1,8400
C1279,37,387000,47,1,14300
C1280,38,1659000,5,24,186100
C1281,45,1194000,22,21,237900
C1282,22,213000,95,3,17400
C1283,33,454000,114,2,17000
C1284,24,1254000,246,4,33100
C1285,32,548000,87,5,20600
C1286,18,529000,120,4,15500
C1287,34,1290000,12,22,225400
C1288,48,1850000,4,21,144000
C1289,33,471000,93,4,12500
C1290,44,831000,232,1,20200
C1291,36,1425000,8,19,131300
C1292,30,822000,61,15,54800
C1293,46,1083000,243,8,19100
C1294,24,293000,104,1,25100
C1295,31,1058000,279,1,14200
C1296,52,1063000,220,1,14300
C1297,34,945000,58,10,65300
C1298,21,633000,45,9,50800
C1299,34,953000,38,6,53300
C1300,28,819000,41,11,68600
C1301,25,466000,24,16,69700
C1302,18,465000,72,1,1500
C1303,32,427000,41,13,60800
C1304,49,1191000,251,3,31400
C1305,40,1616000,6,15,245500
C1306,23,601000,85,5,22300
C1307,37,891000,26,10,62900
C1308,34,949000,57,12,63300
C1309,67,567000,173,2,27700
C1310,20,537000,42,12,73100
